"rule","split_seed","pair_id","global_component","candidate_fold"
"record_balanced_original_rule","20260624","0061FDD63A9589E0F8DE63C14158AE0D7C2EFEA3B015661DFE818A0E19A9B3BA","rbv01_021729FAD057771AC5A3F59730477FE06019418FF0104B829F6E153E2D91134D","3"
"record_balanced_original_rule","20260624","0080E6935843F863371E22F1CED37652FDA5B361294A300C303F6F705AA482B4","rbv01_054201B2ED3ADADFBB0028C07B1A262219631DC717FDE4862C42583AB67D10C2","1"
"record_balanced_original_rule","20260624","01173CA8D64B41CA73353EABAA22D6075C16661C4227663F22DD9506467B1F95","rbv01_08EC8F274B3390CA9A557C1810F52FE38EAF9404CF035F8A1D70A5AAAFA3EA60","2"
"record_balanced_original_rule","20260624","015160EA6BB4FCD3BB38609CAD7C88EE690FF803C17973E56817138E36218C8B","rbv01_4A6CDC7218F267E114B083B225FC435EA4AECE9A8307DC39925FE5F442FDB97A","3"
"record_balanced_original_rule","20260624","01732DDCA3B8093BB6CE8F49ECEED5DECEEFFAA9A4A41C13D60DF0A753765CC7","rbv01_0213C5737861DD256119EF44D45CD1CECAF08BA1B29FE2AD47F7CEE0237AF618","0"
"record_balanced_original_rule","20260624","01B62D200C27D3EC84F62AAEC723BD902A8BBD3E6E87C93AAB51CEE8969C529F","rbv01_0213C5737861DD256119EF44D45CD1CECAF08BA1B29FE2AD47F7CEE0237AF618","0"
"record_balanced_original_rule","20260624","01D427590EE36074DCC8FCB945C46BD0191C8A1B7F383BEB6FA7D98BF5206463","rbv01_0213C5737861DD256119EF44D45CD1CECAF08BA1B29FE2AD47F7CEE0237AF618","0"
"record_balanced_original_rule","20260624","0224624C74589B7009210AB854F93613FBED5F4AC0208DEB5E6B4BEBC86DA932","rbv01_0213C5737861DD256119EF44D45CD1CECAF08BA1B29FE2AD47F7CEE0237AF618","0"
"record_balanced_original_rule","20260624","022F25D57529CF917A393BB2086AF70DA919073F900F4C6110D0FD616DDC1712","rbv01_08EC8F274B3390CA9A557C1810F52FE38EAF9404CF035F8A1D70A5AAAFA3EA60","2"
"record_balanced_original_rule","20260624","02B6DB525CB4AE3736D1536DC884F9D70D6C680F4F6D892EA7B8533A29FD0CA7","rbv01_0E9E0FC3E20BED0F32C5DF6A0164CCE77E206A06E5378ED855756B22A2C4F6E6","3"
"record_balanced_original_rule","20260624","02C713D01C5A665E383BD56BABA3CFC71A046A7666C95067906781F03470DC70","rbv01_011B84DDF86961F6053ED2B20908582AF6425C6EFA13305F705F7C498093367C","1"
"record_balanced_original_rule","20260624","02C825DDCFAB00225FFF41D33B28B73D12DB6961A655473C157555F7555FD637","rbv01_011B84DDF86961F6053ED2B20908582AF6425C6EFA13305F705F7C498093367C","1"
"record_balanced_original_rule","20260624","02CA4F8686BFB39493A0D903E1F41376CCCD09E06FAA21EEE8EAE01A6ED7E8EB","rbv01_0213C5737861DD256119EF44D45CD1CECAF08BA1B29FE2AD47F7CEE0237AF618","0"
"record_balanced_original_rule","20260624","02E1A4918E4B7ACF5DB0D5D0425AD147327344CB0367E980423E8D7374778A80","rbv01_0213C5737861DD256119EF44D45CD1CECAF08BA1B29FE2AD47F7CEE0237AF618","0"
